	latitude	longitude	landmarks	street	known_addresses	keywords
0	47.66439842105263	9.49348852631579	['Hacienda', 'Aktif Markt', 'Il Tricolore', 'La Scala', 'Kaufland', 'FDH - Friedrichshafen Airpot', 'Friedrichshafen', 'Asia World', 'Dornier Museum Friedrichshafen', 'Hotel Knoblauch', 'Nar Supermarkt', 'Friedrichshafen Ost', 'Konstantinos', 'Lowental', 'Zum Klosterwirt', 'Otto Lilienthal']	[]	[]	['hotel', 'market', 'restaurant', 'airpot', 'museum', 'supermarket', 'bus station']
1	47.725940333333334	9.35939	['Markdorf', 'EDEKA Nah und Gut', 'Bermatingen']	[]	[]	[]
2	47.5441784	9.3151478	['Steinebrunn', 'Hefenhofen', 'Im Punt', 'Amriswil']	[]	[]	['place']
3	47.77583333333334	9.616733333333332	['Hotel Obertor', 'Bleicherwiese Park']	[]	['Bleichstraße 9, 88212 Ravensburg', 'Bleichstraße, 88212 Ravensburg']	['hotel', 'tower', 'park']
4	47.659448187500004	9.173208500000001	['K 9', 'Sitara', 'Graf Zeppelin', 'Rosgartenmuseum', 'Viva sky', 'Dischinger', 'Il Boccone', 'Hotel Augustiner Tor', 'Hotel Hirschen', 'Eumel', 'Cafe Turm', 'Stadthotel', 'Barbarossa', 'Burgerheart', 'La Grotta', 'Wiesentaler Hof']	[]	[]	['bus station', 'restaurant', 'hotel', 'museum', 'cafe']
5	47.77149999999999	9.610800000000001	['Ravensburg University', 'Restaurant Hopfen und Malz']	[]	['Bachstraße 37, 88214 Ravensburg', 'Marienplatz 2, 88212 Ravensburg']	['restaurant', 'educational institution']
6	47.552764999999994	9.208228	['Berg', 'Riedt', 'Buchackern', 'Erlen']	[]	[]	[]
7	47.778000000000006	9.614766666666668	['Mehlsack', 'Hotel Waldhorn']	[]	['Marienplatz, 88212 Ravensburg', 'Marienplatz 15, 88212 Ravensburg']	['tower', 'hotel', 'park']
8	47.769866666666665	9.617133333333333	['Restaurant Silberburg']	[]	['Seestraße 1, 88214 Ravensburg', 'Steigstraße 17, 88213 Ravensburg', 'Christinastraße 7, 88212 Ravensburg']	['restaurant', 'school', 'church']
9	47.748054499999995	8.8114135	['Singen']	[]	[]	[]
10	47.77527419354838	9.61253870967742	['Restaurant Salzstadel', 'Humpis-Quartier', 'Gymnasium Ravensburg', 'Untertor', 'Kornhaus Ravensburg']	[]	['Bleicherstraße 25, 88212 Ravensburg', 'Bachstraße 9, 88212 Ravensburg', 'Grüner-Turm-Straße 30, 88212 Ravensburg', 'Marienplatz, 88212 Ravensburg']	['school', 'museum', 'restaurant', 'tower', 'cultural landmark']
11	47.5303354	9.764106799999999	['Horbranz', 'Kellen', 'Lochau', 'Moos']	[]	[]	['place']
12	47.7570505	9.158294333333336	['Überlingen, Baden-Württemberg, Germany', 'Wallhausen, Konstanz, Baden-Württemberg, Germany', 'Dingelsdorf, Konstanz, Baden-Württemberg, Germany', 'Litzelstetten, Konstanz, Baden-Württemberg, Germany']	[]	[]	[]
13	47.7801	9.6211	[]	[]	['Museumstraße 21, 88212 Ravensburg']	['museum']
14	47.55107376470588	9.689485294117647	"['Romerpark', 'das mietwerk | hotel Lindau', 'Rehberg', 'Haus zum Glogge', 'Gastehaus Grimm', 'Lindau, Lindau, Bavaria, Germany', 'Pension Seereich', 'Lindau', 'Wackerstuben', 'bioOASE', 'Heidenmauer', 'Lindau Central Station', 'Zen Zen', ""denn's Biomarkt"", 'Toskanapark', 'Hotel Helvetia', 'Stadttheater Lindau']"	[]	[]	[]
15	47.733989599999994	8.9838539	['Moos', 'Petra', 'Pension Edeltraud', 'Markelfingen, Radolfzell am Bodensee, Baden-Württemberg, Germany', 'Restaurant Strandcafe', 'Radolfzell am Bodensee', 'Cafe am Kurpark', 'Hotel ArtVilla am See', 'Radolfzell am Bodensee, Baden-Württemberg, Germany', 'Ruderclub Undine']	[]	[]	['place', 'hotel', 'cafe']
16	47.798837500000005	9.07131975	['Bodman-Ludwigshafen, Baden-Württemberg, Germany', 'Sipplingen, Baden-Württemberg, Germany', 'Langenrain, Allensbach, Baden-Württemberg, Germany']	[]	[]	[]
17	47.65172533333333	9.022504666666668	['Raperswilen', 'Euggerschwil', 'Berlingen']	[]	[]	[]
18	47.7776	9.614450000000001	['Marktstraße Ravensburg', 'Blaserturm']	[]	['Marienplatz, 88212 Ravensburg', 'Marktstraße, 88212 Ravensburg']	['tower', 'shop']
19	47.611143923076924	9.537443923076923	['Langenargen, Baden-Württemberg, Germany', 'Penny', 'Familienferiendorf Langenargen', 'Norma', 'Schloss Monfort', 'Langenargen', 'Hotel Seeperle', 'Eriskirch', 'Wirtshaus im Eriskircher Ried', 'Netto Marken-Discount', 'FV Langenargen', 'Gasthaus Anker', 'Pizzeria La Rosa']	[]	[]	['supermarket', 'hotel', 'tower', 'bus station', 'restaurant', 'stadium']
20	47.69109028571428	9.063838714285714	['Allensbach, Baden-Württemberg, Germany', 'Mannenbach-Salenstein, Thurgau, Switzerland', 'Ermatingen', 'Reichenau', 'Reichenau, Baden-Württemberg, Germany', 'Allensbach', 'Salenstein']	[]	[]	['place']
21	47.66897753846154	9.365520153846154	['Camping Schloss Helmsdorf', 'Heinzler am See', 'Hardthof', 'Immenstaad am Bodensee', 'Appartement Hotel Seerose', 'Sportplatz TUS Immenstaad', 'Speckholz', 'Kippenhausen', 'Hotel Alpenblick', 'Hugelgraber Immenstaad', 'Strandhaus Eberle', 'Immenstaad am Bodensee, Baden-Württemberg, Germany', 'Hohberg']	[]	[]	[]
22	47.77807407407408	9.613129629629627	['Restaurant Humpisstube', 'Ravensburg City Park', 'Restaurant Roter Ochsen', 'Ravensburg Theater', 'Mehlsack', 'Bahnhofstraße Ravensburg', 'Einkaufszentrum Marienplatz']	[]	['Bahnhofstraße, 88212 Ravensburg', 'Marienplatz 38, 88212 Ravensburg', 'Marienplatz 55, 88212 Ravensburg', 'Marienplatz, 88212 Ravensburg', 'Marienplatz 59, 88212 Ravensburg', 'Marktstraße 22, 88212 Ravensburg', 'Theaterstraße 11, 88212 Ravensburg', 'Marienplatz 1, 88212 Ravensburg']	['shop', 'restaurant', 'park', 'cultural landmark', 'museum']
23	47.778952173913055	9.608791304347825	['Einkaufszentrum Zehntscheuer', 'Schulmuseum Ravensburg', 'Grundschule Ravensburg West', 'Wertach River']	[]	['Ehmannstraße 7, 88212 Ravensburg', 'Humpisstraße 11, 88212 Ravensburg', 'Charlottenstraße 13, 88212 Ravensburg']	['shop', 'museum', 'school', 'river']
24	47.773399999999995	9.61665	['Grundschule Ravensburg Süd', 'Wirtshausschilder-Museum']	[]	['Adlerstraße 30, 88212 Ravensburg', 'Fronhofstraße 4, 88212 Ravensburg']	['school', 'museum']
25	47.77736666666668	9.615366666666665	['Frauenturm']	[]	['Marienplatz, 88212 Ravensburg']	['plaza', 'tower']
26	47.77589999999999	9.618300000000001	"[""St. Jodok's Church""]"	[]	['Schützenstraße 11, 88212 Ravensburg']	['church']
27	47.7774	9.622440000000001	[]	[]	['Wilhelmstraße 24, 88212 Ravensburg', 'Martinstraße 15, 88212 Ravensburg', 'Bachstraße 1, 88214 Ravensburg']	['gas station', 'church', 'hotel']
28	47.689561	9.821701	[]	[]	[]	[]
29	47.7772	9.6181	['Hansplatz Park']	[]	['Hansplatz, 88212 Ravensburg']	['park']
30	47.770075	9.617450000000002	['Ravensburg Waldorf School']	[]	['Christinastraße 7, 88212 Ravensburg', 'Steigstraße 17, 88213 Ravensburg']	['church', 'school']
31	47.66096615384616	9.177286538461539	['Six Senses', 'Konstanz Bus Station', 'Alte Post', 'Konstanz Train Station Hafen', 'Roter Gugelhan', 'Hotel am Fischmarkt', 'Stadttheater Konstanz', 'Munsterhof', 'Knostanz Minster', 'Pavillon am See', 'Naturkunde Museum', 'Hotel Halm']	[]	[]	['restaurant', 'bus station', 'hotel', 'train station', 'church', 'museum']
32	47.7699	9.616	[]	[]	['Seestraße 1, 88214 Ravensburg']	['restaurant']
33	47.664573999999995	9.16830025	['Unverpackt Konstanz', 'Restaurant Wallgut', 'Edeka-Baur']	[]	[]	['shop', 'restaurant', 'school']
34	47.67431742857142	9.322940357142857	['Campingplatz Schloss Kirchberg', 'Campingplatz Alpenblick', 'Kirche St. Oswald und Otmar', 'Burgunderhof', 'Hagnau am Bodensee, Baden-Württemberg, Germany', 'Weinberghof', 'Hafencafe Ysachthafen Schloss Kirchberg', 'Hotel von Sanden', 'Tobias Michel - Unikatschmuck', 'Zur Winzerstube', 'Erlengraben', 'Schloss Kirchberg', 'Das Kleine Museum', 'Bungalow am See']	[]	[]	['place', 'hotel']
35	47.7741	9.6245	[]	[]	['Hauptstraße 93, 88214 Ravensburg']	['hotel']
36	47.775800000000004	9.6173	['Spohn Park', 'Hotel Storchen']	[]	['Schützenstraße 7, 88212 Ravensburg', 'Schützenstraße, 88212 Ravensburg']	['hotel', 'park']
37	47.78379999999999	9.6132	['Ravensburg Castle']	[]	['Schlossstraße 12, 88212 Ravensburg', 'Any address']	['landmark', 'highlight']
38	47.7812	9.6185	[]	[]	['Am Mehlsack 4, 88212 Ravensburg']	['gas station']
39	47.65221783333334	9.169042166666665	['Miss Saigon', 'Kreuzlingen', 'Bed & Breakfast Nyffenegger', 'Six', 'Bellevue', 'Kreuzlingen, Thurgau, Switzerland']	[]	[]	['restaurant', 'hotel']
40	47.77720000000001	9.6143	['Ravensburg Tower', 'Stadtgraben Park']	[]	['Innenstadt, 88212 Ravensburg', 'Marienplatz, 88212 Ravensburg']	['park', 'tower']
41	47.7787	9.6156	[]	[]	['Wilhelmstraße 4, 88212 Ravensburg']	['shop']
42	47.584185	9.323416666666667	['Dozwil', 'Uttwil', 'Kesswil']	[]	[]	[]
43	47.685521	9.558178	['Tettnang', 'Meckenbeuren']	[]	[]	[]
44	47.77823333333333	9.60436666666667	['Grundschule Ravensburg Weststadt', 'Wertach River']	[]	['Blumenstraße 23, 88214 Ravensburg']	['school', 'river']
45	47.7801	9.6211	['Ravensburg Museum']	[]	['Museumstraße 21, 88212 Ravensburg']	['museum']
46	47.7781	9.6224	['ESSO Gas Station']	[]	['Wilhelmstraße 24, 88212 Ravensburg']	['gas station']
47	47.67278533333334	8.976861000000001	['Gaienhofen, Baden-Württemberg, Germany', 'Steckborn', 'Hemmenhofen, Gaienhofen, Baden-Württemberg, Germany']	[]	[]	[]
48	47.55155857142858	9.266994428571428	['Schocherswil', 'Zihlschlacht', 'Niedersommeri', 'Rauchlisberg', 'Amriswil', 'Oberaach', 'Langrickenbach']	[]	[]	[]
49	47.48015066666667	9.469974666666667	['Rorschacherberg, St. Gallen, Switzerland', 'Horn']	[]	[]	[]
50	47.61972399999999	9.10493275	['Waldi', 'Tagerwilen', 'Weinfelden', 'Kemmental']	[]	[]	[]
51	47.6941535	9.273863500000001	['Meersburg, Baden-Württemberg, Germany', 'Droste=Museum im Fustenhausle']	[]	[]	['museum']
52	47.77851666666666	9.61433333333333	['Schussen River']	[]	['Adlerstraße 1, 88212 Ravensburg']	['hotel', 'river']
53	47.7742	9.6068	['Shell Gas Station']	[]	['Bleicherstraße 12, 88212 Ravensburg']	['gas station']
54	47.7703	9.6172	[]	[]	['Christinastraße 7, 88212 Ravensburg']	['church']
55	47.488634	9.7201305	['Lauterach', 'Bregenz']	[]	[]	[]
56	47.7703	9.6172	[]	[]	['Christinastraße 7, 88212 Ravensburg']	['church']
57	47.662482499999996	8.8789015	['Ohningen', 'Öhningen, Baden-Württemberg, Germany']	[]	[]	[]
58	47.51276419999999	9.413192599999999	['Roggwil', 'Arbon', 'Scheidweg', 'Frasnacht']	[]	[]	[]
59	47.7741	9.6245	['Hotel Restaurant Maier']	[]	['Hauptstraße 93, 88214 Ravensburg']	['hotel']
60	47.55718225	9.369633	['Romanshorn', 'Romanshorn, Thurgau, Switzerland', 'Salmsach', 'Egnach']	[]	[]	[]
61	47.58991866666667	9.593618	['Kressbronn am Bodensee', 'Nonnenhorn, Bavaria, Germany', 'Kressbroom am Bodensee']	[]	[]	['place']
62	47.6347365	9.210102	['Bottighofen', 'Munsterlingen']	[]	[]	[]
63	47.46573375	9.3647235	['Haggenschwil', 'Rutihof', 'Wittenbach', 'St. Gallen']	[]	[]	['place']
